Categoria: Todas as categorias

Semana,Banco do Brasil: (Brasil)
2023-10-08,77
2023-10-15,79
2023-10-22,68
2023-10-29,73
2023-11-05,88
2023-11-12,71
2023-11-19,75
2023-11-26,79
2023-12-03,86
2023-12-10,88
2023-12-17,85
2023-12-24,81
2023-12-31,82
2024-01-07,88
2024-01-14,83
2024-01-21,80
2024-01-28,97
2024-02-04,100
2024-02-11,80
2024-02-18,84
2024-02-25,83
2024-03-03,90
2024-03-10,85
2024-03-17,80
2024-03-24,73
2024-03-31,95
2024-04-07,79
2024-04-14,73
2024-04-21,76
2024-04-28,78
2024-05-05,83
2024-05-12,74
2024-05-19,78
2024-05-26,77
2024-06-02,80
2024-06-09,74
2024-06-16,73
2024-06-23,75
2024-06-30,81
2024-07-07,75
2024-07-14,74
2024-07-21,72
2024-07-28,75
2024-08-04,81
2024-08-11,81
2024-08-18,78
2024-08-25,75
2024-09-01,84
2024-09-08,85
2024-09-15,78
2024-09-22,79
2024-09-29,82
2024-10-06,79
2024-10-13,39
