Categoria: Todas as categorias

Semana,Bradesco: (Brasil)
2023-10-08,68
2023-10-15,76
2023-10-22,76
2023-10-29,71
2023-11-05,76
2023-11-12,66
2023-11-19,69
2023-11-26,87
2023-12-03,78
2023-12-10,83
2023-12-17,71
2023-12-24,68
2023-12-31,80
2024-01-07,100
2024-01-14,85
2024-01-21,83
2024-01-28,93
2024-02-04,95
2024-02-11,68
2024-02-18,79
2024-02-25,80
2024-03-03,84
2024-03-10,82
2024-03-17,78
2024-03-24,71
2024-03-31,81
2024-04-07,74
2024-04-14,73
2024-04-21,73
2024-04-28,75
2024-05-05,78
2024-05-12,77
2024-05-19,73
2024-05-26,74
2024-06-02,81
2024-06-09,73
2024-06-16,70
2024-06-23,73
2024-06-30,76
2024-07-07,70
2024-07-14,80
2024-07-21,71
2024-07-28,73
2024-08-04,73
2024-08-11,69
2024-08-18,67
2024-08-25,74
2024-09-01,76
2024-09-08,73
2024-09-15,67
2024-09-22,66
2024-09-29,71
2024-10-06,64
2024-10-13,29
