Categoria: Todas as categorias

Semana,Itaú: (Brasil)
2023-10-08,82
2023-10-15,83
2023-10-22,68
2023-10-29,76
2023-11-05,93
2023-11-12,75
2023-11-19,70
2023-11-26,90
2023-12-03,95
2023-12-10,96
2023-12-17,81
2023-12-24,82
2023-12-31,91
2024-01-07,94
2024-01-14,87
2024-01-21,79
2024-01-28,83
2024-02-04,89
2024-02-11,79
2024-02-18,80
2024-02-25,86
2024-03-03,95
2024-03-10,79
2024-03-17,88
2024-03-24,76
2024-03-31,91
2024-04-07,73
2024-04-14,75
2024-04-21,79
2024-04-28,86
2024-05-05,100
2024-05-12,79
2024-05-19,81
2024-05-26,84
2024-06-02,93
2024-06-09,77
2024-06-16,79
2024-06-23,81
2024-06-30,89
2024-07-07,81
2024-07-14,78
2024-07-21,76
2024-07-28,79
2024-08-04,84
2024-08-11,76
2024-08-18,74
2024-08-25,77
2024-09-01,86
2024-09-08,78
2024-09-15,71
2024-09-22,73
2024-09-29,86
2024-10-06,82
2024-10-13,51
